EA,Ticket,Dir,Open_DT,Entry,SL,TP2,Close_DT,Close_Px,PnL,Status
Swing,25,BUY,2023-05-16 16:00:00,88.53,87.16,90.83,2023-05-18 07:00:00,87.15,-110.74,closed
Swing,26,BUY,2023-05-19 07:00:00,88.55,88.61,90.52,2023-05-19 13:00:00,88.6,2.43,closed
Swing,27,BUY,2023-05-24 12:00:00,90.95,91.02,92.94,2023-05-25 09:00:00,91.01,2.58,closed
Swing,28,BUY,2023-05-30 12:00:00,90.14,91.01,92.27,2023-05-31 09:00:00,92.27,91.47,closed
Swing,29,BUY,2023-06-06 14:00:00,95.38,96.42,97.55,2023-06-07 11:00:00,97.55,91.53,closed
Swing,30,BUY,2023-06-09 15:00:00,96.61,95.24,98.91,2023-06-12 12:00:00,95.23,-112.34,closed
Swing,31,BUY,2023-06-14 07:00:00,94.88,93.49,97.18,2023-06-15 14:00:00,93.48,-111.26,closed
Swing,32,BUY,2023-06-23 08:00:00,95.78,94.49,97.92,2023-06-23 15:00:00,94.48,-110.23,closed
Swing,33,BUY,2023-06-29 11:00:00,97.42,96.18,99.47,2023-06-30 08:00:00,96.17,-109.51,closed
Swing,34,BUY,2023-07-03 16:00:00,95.72,96.24,97.51,2023-07-04 12:00:00,96.23,25.22,closed
Swing,35,BUY,2023-07-06 08:00:00,94.78,93.54,96.86,2023-07-06 13:00:00,93.53,-109.06,closed
Swing,36,BUY,2023-07-07 12:00:00,94.28,94.85,96.41,2023-07-10 14:00:00,94.84,23.5,closed
Swing,37,BUY,2023-07-20 12:00:00,97.45,96.18,99.58,2023-07-20 15:00:00,96.17,-109.05,closed
Swing,38,BUY,2023-07-24 09:00:00,97.23,95.8,99.62,2023-07-25 07:00:00,95.79,-106.66,closed
Swing,39,BUY,2023-07-25 11:00:00,96.97,95.65,99.18,2023-07-25 13:00:00,95.64,-106.63,closed
Swing,40,SELL,2023-07-31 13:00:00,91.94,91.48,89.95,2023-07-31 16:00:00,91.49,20.13,closed
Swing,41,SELL,2023-08-08 07:00:00,88.72,87.92,86.9,2023-08-09 07:00:00,86.9,87.26,closed
Swing,42,SELL,2023-08-10 11:00:00,86.64,86.04,84.7,2023-08-10 14:00:00,86.05,26.23,closed
Swing,43,SELL,2023-08-11 09:00:00,86.23,85.34,84.35,2023-08-14 11:00:00,84.35,90.34,closed
Swing,44,SELL,2023-08-16 07:00:00,84.33,83.91,82.47,2023-08-16 14:00:00,83.92,20.53,closed
Swing,45,SELL,2023-08-17 08:00:00,83.92,84.96,82.19,2023-08-17 10:00:00,84.97,-110.13,closed
Swing,46,SELL,2023-08-17 13:00:00,84.42,83.92,82.71,2023-08-18 12:00:00,82.71,89.04,closed
Swing,47,SELL,2023-08-22 11:00:00,82.5,83.53,80.77,2023-08-23 09:00:00,83.54,-110.61,closed
Swing,48,SELL,2023-08-24 13:00:00,82.91,84.13,80.86,2023-08-25 08:00:00,84.14,-108.76,closed
Swing,49,SELL,2023-08-25 11:00:00,83.3,83.24,81.46,2023-08-28 14:00:00,83.25,2.8,closed
Swing,50,BUY,2023-09-07 13:00:00,89.02,89.08,90.89,2023-09-08 13:00:00,89.07,2.48,closed
Swing,51,BUY,2023-09-11 08:00:00,89.78,88.78,91.43,2023-09-11 11:00:00,88.77,-109.14,closed
Swing,52,BUY,2023-09-11 14:00:00,89.11,88.09,90.82,2023-09-12 08:00:00,88.08,-108.33,closed
Swing,53,BUY,2023-09-12 10:00:00,88.78,87.72,90.56,2023-09-13 10:00:00,87.71,-107.31,closed
Swing,54,SELL,2023-09-13 10:00:00,87.64,88.67,85.94,2023-09-13 14:00:00,88.68,-105.45,closed
Swing,55,SELL,2023-09-14 09:00:00,87.84,87.0,85.97,2023-09-14 15:00:00,87.01,38.42,closed
Swing,56,SELL,2023-09-15 09:00:00,87.78,88.9,85.89,2023-09-15 16:00:00,88.91,-105.87,closed
Swing,57,BUY,2023-09-21 08:00:00,90.12,90.72,91.98,2023-09-21 11:00:00,91.98,85.21,closed
Swing,58,BUY,2023-09-26 07:00:00,90.84,89.67,92.81,2023-09-26 13:00:00,89.66,-105.6,closed
Swing,59,BUY,2023-09-27 10:00:00,91.09,89.86,93.16,2023-09-27 12:00:00,89.85,-104.67,closed
Swing,60,BUY,2023-10-13 16:00:00,92.34,91.22,94.22,2023-10-16 10:00:00,91.21,-104.22,closed
Swing,61,BUY,2023-10-16 12:00:00,91.83,91.91,93.76,2023-10-17 10:00:00,91.9,2.69,closed
Swing,62,SELL,2023-10-20 08:00:00,87.86,87.46,85.91,2023-10-23 07:00:00,87.47,16.99,closed
Swing,63,SELL,2023-10-23 08:00:00,86.64,87.72,84.82,2023-10-23 16:00:00,87.73,-103.19,closed
Swing,64,SELL,2023-10-24 07:00:00,87.62,88.86,85.56,2023-10-24 14:00:00,88.87,-102.25,closed
Swing,65,SELL,2023-10-24 15:00:00,87.8,89.06,85.69,2023-10-25 14:00:00,89.07,-101.79,closed
Swing,66,SELL,2023-10-26 07:00:00,88.23,87.23,86.18,2023-10-30 10:00:00,86.18,82.02,closed
Swing,67,SELL,2023-11-01 10:00:00,86.91,87.97,85.13,2023-11-01 16:00:00,87.98,-102.4,closed
Swing,68,SELL,2023-11-03 11:00:00,87.11,86.13,85.1,2023-11-06 07:00:00,85.1,84.17,closed
Swing,69,SELL,2023-11-06 13:00:00,86.44,87.57,84.54,2023-11-07 08:00:00,87.58,-102.14,closed
Swing,70,SELL,2023-11-08 09:00:00,86.42,87.42,84.73,2023-11-08 13:00:00,87.43,-100.92,closed
Swing,71,BUY,2023-11-15 09:00:00,89.22,89.67,91.05,2023-11-16 07:00:00,89.66,19.4,closed
Swing,72,SELL,2023-11-16 08:00:00,88.86,88.47,86.97,2023-11-16 11:00:00,88.48,16.81,closed
Swing,73,SELL,2023-11-24 15:00:00,85.11,84.45,83.01,2023-11-27 10:00:00,84.46,25.78,closed
Swing,74,SELL,2023-11-27 16:00:00,84.92,86.16,82.86,2023-11-28 10:00:00,86.17,-101.25,closed
Swing,75,SELL,2023-11-28 11:00:00,85.67,84.73,83.53,2023-11-29 14:00:00,83.53,83.63,closed
Swing,76,SELL,2023-12-05 14:00:00,78.11,77.04,76.36,2023-12-06 11:00:00,76.36,85.66,closed
Swing,77,SELL,2023-12-07 08:00:00,75.39,76.47,73.6,2023-12-08 09:00:00,76.48,-103.34,closed
Swing,78,SELL,2023-12-08 11:00:00,76.14,77.13,74.5,2023-12-08 13:00:00,77.14,-102.55,closed
Swing,79,SELL,2023-12-11 15:00:00,76.75,76.69,75.18,2023-12-13 08:00:00,76.7,2.51,closed
Swing,80,SELL,2023-12-13 08:00:00,75.52,74.42,73.65,2023-12-14 09:00:00,73.65,83.78,closed
Swing,81,SELL,2023-12-18 16:00:00,73.19,74.2,71.5,2023-12-19 09:00:00,74.21,-103.11,closed
Swing,82,SELL,2023-12-20 10:00:00,73.69,74.63,72.1,2023-12-21 09:00:00,74.64,-102.57,closed
Swing,83,SELL,2023-12-26 08:00:00,74.17,73.43,72.45,2023-12-27 09:00:00,72.45,83.8,closed
Swing,84,SELL,2023-12-28 07:00:00,73.39,73.12,71.75,2023-12-29 07:00:00,73.13,13.73,closed
Swing,85,SELL,2023-12-29 11:00:00,73.39,72.39,71.75,2024-01-01 13:00:00,72.4,50.67,closed
Swing,86,SELL,2024-01-02 13:00:00,71.14,70.48,69.63,2024-01-03 08:00:00,69.63,85.82,closed
Swing,87,SELL,2024-01-03 16:00:00,71.25,70.26,69.67,2024-01-04 11:00:00,69.67,86.78,closed
Swing,88,SELL,2024-01-09 11:00:00,70.89,70.31,69.02,2024-01-10 16:00:00,70.32,27.25,closed
Swing,89,SELL,2024-01-11 11:00:00,70.92,71.84,69.37,2024-01-12 07:00:00,71.85,-106.85,closed
Swing,90,SELL,2024-01-15 07:00:00,70.5,70.09,69.01,2024-01-15 12:00:00,70.1,23.63,closed
Swing,91,SELL,2024-01-18 14:00:00,67.83,67.55,66.32,2024-01-19 15:00:00,67.56,15.52,closed
Swing,92,SELL,2024-01-22 14:00:00,67.78,68.63,66.37,2024-01-23 08:00:00,68.64,-107.21,closed
Swing,93,SELL,2024-01-31 07:00:00,66.97,67.8,65.57,2024-01-31 15:00:00,67.81,-106.22,closed
Swing,94,SELL,2024-02-01 14:00:00,66.86,67.71,65.43,2024-02-02 11:00:00,67.72,-105.76,closed
Swing,95,SELL,2024-02-06 08:00:00,67.48,68.34,66.05,2024-02-06 09:00:00,68.35,-104.18,closed
Swing,96,SELL,2024-02-06 15:00:00,67.89,67.05,66.44,2024-02-08 07:00:00,66.44,85.94,closed
Swing,97,SELL,2024-02-16 10:00:00,67.78,68.66,66.3,2024-02-19 07:00:00,68.67,-104.57,closed
Swing,98,SELL,2024-02-20 12:00:00,68.3,69.11,66.93,2024-02-20 15:00:00,69.12,-103.5,closed
Swing,99,SELL,2024-03-01 12:00:00,72.92,73.94,71.2,2024-03-04 08:00:00,73.95,-102.67,closed
Swing,100,SELL,2024-03-06 08:00:00,73.03,74.02,71.37,2024-03-08 08:00:00,74.03,-101.06,closed
Swing,101,BUY,2024-03-08 08:00:00,74.25,73.36,75.75,2024-03-08 12:00:00,73.35,-100.54,closed
Swing,102,SELL,2024-03-08 16:00:00,73.45,73.0,71.97,2024-03-11 11:00:00,71.97,81.64,closed
Swing,103,BUY,2024-03-12 16:00:00,75.0,73.95,76.77,2024-03-14 15:00:00,73.94,-100.4,closed
Swing,104,SELL,2024-03-21 07:00:00,72.28,71.45,70.74,2024-03-22 10:00:00,70.74,82.01,closed
Swing,105,SELL,2024-03-25 16:00:00,70.83,70.79,69.44,2024-03-26 13:00:00,69.44,83.47,closed
Swing,106,SELL,2024-04-04 09:00:00,69.06,69.02,67.62,2024-04-05 08:00:00,69.03,2.16,closed
Swing,107,SELL,2024-04-05 11:00:00,68.95,69.85,67.47,2024-04-05 13:00:00,69.86,-102.95,closed
Swing,108,SELL,2024-04-05 15:00:00,69.2,68.71,67.62,2024-04-08 09:00:00,68.72,25.54,closed
Swing,109,SELL,2024-04-09 15:00:00,68.0,67.16,66.48,2024-04-10 15:00:00,67.17,45.43,closed
Swing,110,SELL,2024-04-12 08:00:00,67.53,66.9,66.17,2024-04-12 14:00:00,66.17,85.26,closed
Swing,111,SELL,2024-04-15 13:00:00,66.58,67.5,65.06,2024-04-15 16:00:00,67.51,-104.67,closed
Swing,112,BUY,2024-04-29 15:00:00,73.19,72.31,74.65,2024-04-30 10:00:00,72.3,-102.95,closed
Swing,113,BUY,2024-05-06 11:00:00,73.44,73.91,74.92,2024-05-07 11:00:00,73.9,26.29,closed
Swing,114,BUY,2024-05-07 15:00:00,73.72,74.01,75.09,2024-05-08 11:00:00,74.0,16.84,closed
Swing,115,BUY,2024-05-10 07:00:00,73.83,74.29,75.39,2024-05-10 16:00:00,74.28,24.55,closed
Swing,116,BUY,2024-05-13 12:00:00,74.05,73.22,75.42,2024-05-13 14:00:00,73.21,-104.48,closed
Swing,117,SELL,2024-05-20 14:00:00,71.11,72.0,69.61,2024-05-21 07:00:00,72.01,-102.72,closed
Swing,118,BUY,2024-05-21 16:00:00,73.31,74.04,74.9,2024-05-23 08:00:00,74.9,83.02,closed
Swing,119,BUY,2024-05-24 07:00:00,74.08,73.11,75.71,2024-05-27 11:00:00,73.1,-103.49,closed
Swing,120,BUY,2024-05-28 14:00:00,74.58,75.43,76.36,2024-05-30 14:00:00,75.42,40.43,closed
Swing,121,SELL,2024-06-07 12:00:00,71.88,72.74,70.44,2024-06-07 15:00:00,72.75,-102.85,closed
Swing,122,BUY,2024-06-07 15:00:00,72.95,73.73,74.6,2024-06-10 10:00:00,73.72,38.95,closed
Swing,123,BUY,2024-06-12 13:00:00,75.95,74.94,77.65,2024-06-13 11:00:00,74.93,-102.65,closed
Swing,124,BUY,2024-06-13 13:00:00,75.06,76.0,76.68,2024-06-14 16:00:00,76.68,84.21,closed
Swing,125,BUY,2024-06-18 15:00:00,77.22,77.88,78.85,2024-06-20 12:00:00,78.85,84.81,closed
Swing,126,BUY,2024-06-21 10:00:00,77.94,78.43,79.59,2024-06-24 08:00:00,78.42,25.37,closed
Swing,127,BUY,2024-06-25 11:00:00,78.7,77.77,80.24,2024-06-26 12:00:00,77.76,-104.89,closed
Swing,128,BUY,2024-06-27 10:00:00,78.08,78.14,79.73,2024-06-28 07:00:00,78.13,2.6,closed
Swing,129,BUY,2024-06-28 13:00:00,78.38,79.1,80.13,2024-07-01 14:00:00,80.13,85.96,closed
Swing,130,BUY,2024-07-04 08:00:00,80.28,80.73,82.04,2024-07-05 07:00:00,82.04,87.67,closed
Swing,131,BUY,2024-07-05 16:00:00,82.17,82.76,84.02,2024-07-08 11:00:00,82.75,27.73,closed
Swing,132,BUY,2024-07-10 12:00:00,83.7,82.68,85.41,2024-07-11 10:00:00,82.67,-107.4,closed
Swing,133,BUY,2024-07-11 11:00:00,83.27,84.32,85.0,2024-07-12 09:00:00,85.0,86.78,closed
Swing,134,BUY,2024-07-16 13:00:00,85.84,86.31,87.65,2024-07-17 09:00:00,87.65,90.02,closed
Swing,135,BUY,2024-07-19 09:00:00,88.33,89.15,90.11,2024-07-22 07:00:00,89.14,40.86,closed
Swing,136,BUY,2024-07-31 11:00:00,85.78,86.34,87.8,2024-08-01 12:00:00,86.33,24.75,closed
Swing,137,BUY,2024-08-08 07:00:00,87.0,88.13,88.82,2024-08-08 14:00:00,88.82,91.38,closed
Swing,138,BUY,2024-08-09 15:00:00,88.03,88.95,89.9,2024-08-13 09:00:00,88.94,45.28,closed
Swing,139,BUY,2024-08-15 07:00:00,88.05,86.99,89.81,2024-08-16 10:00:00,86.98,-113.02,closed
Swing,140,BUY,2024-08-21 13:00:00,86.97,87.03,88.65,2024-08-23 08:00:00,87.02,2.7,closed
Swing,141,BUY,2024-08-26 07:00:00,87.86,86.63,89.89,2024-08-26 11:00:00,86.62,-112.29,closed
Swing,142,BUY,2024-08-27 15:00:00,86.33,85.16,88.3,2024-08-29 11:00:00,85.15,-111.8,closed
Swing,143,BUY,2024-09-05 08:00:00,83.14,83.48,84.87,2024-09-05 12:00:00,83.47,17.43,closed
Swing,144,SELL,2024-09-06 09:00:00,82.05,80.95,80.26,2024-09-09 14:00:00,80.96,55.92,closed
Swing,145,SELL,2024-09-10 09:00:00,79.62,79.56,77.75,2024-09-10 12:00:00,79.57,2.68,closed
Swing,146,SELL,2024-09-18 08:00:00,77.09,78.03,75.54,2024-09-18 10:00:00,78.04,-112.98,closed
Swing,147,SELL,2024-09-24 11:00:00,75.08,75.02,73.61,2024-09-25 15:00:00,73.61,92.45,closed
Swing,148,SELL,2024-09-27 12:00:00,73.77,73.16,72.26,2024-09-30 10:00:00,72.26,93.25,closed
Swing,149,SELL,2024-09-30 10:00:00,72.3,72.24,70.79,2024-10-01 09:00:00,72.25,2.66,closed
Swing,150,SELL,2024-10-03 12:00:00,70.78,70.13,69.22,2024-10-04 11:00:00,70.14,38.52,closed
Swing,151,SELL,2024-10-18 12:00:00,67.56,67.25,66.01,2024-10-22 07:00:00,67.26,19.04,closed
Swing,152,SELL,2024-10-22 10:00:00,67.55,68.41,66.14,2024-10-22 13:00:00,68.42,-116.26,closed
Swing,153,SELL,2024-10-30 10:00:00,69.0,68.37,67.44,2024-10-31 10:00:00,68.38,38.43,closed
Swing,154,SELL,2024-11-11 10:00:00,73.08,74.15,71.29,2024-11-11 12:00:00,74.16,-115.66,closed
Swing,155,SELL,2024-11-19 11:00:00,73.86,74.73,72.42,2024-11-19 13:00:00,74.74,-114.59,closed
Swing,156,SELL,2024-11-21 13:00:00,74.03,73.54,72.55,2024-11-22 12:00:00,73.55,29.8,closed
Swing,157,SELL,2024-11-22 16:00:00,73.84,73.79,72.33,2024-11-25 14:00:00,73.8,2.64,closed
Swing,158,SELL,2024-11-29 12:00:00,72.47,72.03,70.94,2024-12-02 10:00:00,72.04,26.57,closed
Scalper,159,SELL,2023-01-02 11:35:00,83.67,83.78,83.45,2023-01-02 11:45:00,83.79,-38.93,closed
Scalper,160,BUY,2023-01-02 12:35:00,83.72,83.62,83.9,2023-01-02 12:45:00,83.61,-33.37,closed
Scalper,161,BUY,2023-01-02 12:50:00,83.58,83.49,83.75,2023-01-02 12:55:00,83.75,49.78,closed
Scalper,162,BUY,2023-01-02 13:00:00,83.94,83.94,84.13,2023-01-02 13:15:00,83.93,-0.47,closed
Scalper,163,SELL,2023-01-02 13:10:00,83.89,83.88,83.69,2023-01-02 13:25:00,83.89,-0.48,closed
Scalper,164,BUY,2023-01-02 13:25:00,83.95,83.84,84.15,2023-01-02 13:30:00,83.83,-36.32,closed
Scalper,165,SELL,2023-01-02 13:35:00,83.72,83.67,83.52,2023-01-02 13:50:00,83.68,5.61,closed
Scalper,166,BUY,2023-01-02 13:55:00,83.72,83.59,83.94,2023-01-02 14:10:00,83.58,-41.16,closed
Scalper,167,SELL,2023-01-02 14:10:00,83.56,83.69,83.34,2023-01-02 14:15:00,83.7,-40.29,closed
Scalper,168,SELL,2023-01-02 14:20:00,83.56,83.68,83.36,2023-01-02 14:30:00,83.69,-37.84,closed
Scalper,169,BUY,2023-01-02 14:30:00,83.73,83.74,83.92,2023-01-02 14:40:00,83.73,-0.48,closed
Scalper,170,SELL,2023-01-02 14:40:00,83.64,83.61,83.45,2023-01-02 15:00:00,83.45,22.71,closed
Scalper,171,BUY,2023-01-02 15:05:00,83.41,83.28,83.62,2023-01-02 15:15:00,83.27,-39.51,closed
Scalper,172,SELL,2023-01-02 15:15:00,83.22,83.35,83.01,2023-01-02 15:35:00,83.01,65.32,closed
Scalper,173,SELL,2023-01-02 16:30:00,82.97,82.9,82.73,2023-01-02 16:50:00,82.73,29.86,closed
Scalper,174,BUY,2023-01-02 16:55:00,82.78,82.64,83.01,2023-01-03 07:05:00,82.63,-42.56,closed
Scalper,175,BUY,2023-01-03 08:05:00,82.09,81.96,82.33,2023-01-03 08:15:00,82.33,69.45,closed
Scalper,176,BUY,2023-01-03 08:15:00,82.3,82.14,82.57,2023-01-03 08:25:00,82.13,-50.0,closed
Scalper,177,SELL,2023-01-03 08:25:00,82.11,82.07,81.82,2023-01-03 08:40:00,82.08,4.26,closed
Scalper,178,BUY,2023-01-03 08:45:00,82.3,82.13,82.59,2023-01-03 09:05:00,82.12,-53.03,closed
Scalper,179,SELL,2023-01-03 09:00:00,82.14,82.29,81.86,2023-01-03 09:10:00,82.3,-48.69,closed
Scalper,180,BUY,2023-01-03 09:10:00,82.36,82.39,82.63,2023-01-03 09:25:00,82.38,3.02,closed
Scalper,181,SELL,2023-01-03 09:30:00,82.17,82.17,81.93,2023-01-03 09:45:00,82.18,-0.3,closed
Scalper,182,BUY,2023-01-03 09:55:00,82.38,82.24,82.61,2023-01-03 10:10:00,82.23,-43.05,closed
Scalper,183,SELL,2023-01-03 10:10:00,82.11,82.02,81.87,2023-01-03 10:25:00,82.03,10.48,closed
Scalper,185,BUY,2023-01-03 10:45:00,82.11,82.0,82.32,2023-01-03 10:50:00,81.99,-37.49,closed
Scalper,186,SELL,2023-01-03 11:00:00,82.03,82.14,81.85,2023-01-03 11:05:00,82.15,-34.24,closed
Scalper,184,BUY,2023-01-03 10:25:00,82.03,82.06,82.26,2023-01-03 11:15:00,82.05,1.83,closed
Scalper,187,SELL,2023-01-03 11:10:00,82.11,82.21,81.94,2023-01-03 11:15:00,82.22,-32.56,closed
Scalper,188,SELL,2023-01-03 11:30:00,82.14,82.12,81.95,2023-01-03 11:50:00,82.13,1.78,closed
Scalper,189,SELL,2023-01-03 11:40:00,82.08,82.18,81.89,2023-01-03 11:55:00,81.89,56.14,closed
Scalper,190,BUY,2023-01-03 12:00:00,81.97,81.98,82.2,2023-01-03 12:25:00,81.97,-0.36,closed
Scalper,191,BUY,2023-01-03 12:20:00,82.09,81.97,82.32,2023-01-03 12:30:00,81.96,-40.59,closed
Scalper,192,SELL,2023-01-03 12:30:00,81.69,81.83,81.45,2023-01-03 12:35:00,81.84,-44.28,closed
Scalper,193,BUY,2023-01-03 12:40:00,82.03,81.87,82.3,2023-01-03 12:45:00,82.3,81.65,closed
Scalper,194,SELL,2023-01-03 13:40:00,82.83,82.74,82.6,2023-01-03 14:10:00,82.6,28.64,closed
Scalper,195,BUY,2023-01-03 14:15:00,82.75,82.65,82.95,2023-01-03 14:20:00,82.64,-35.37,closed
Scalper,196,BUY,2023-01-03 14:45:00,82.8,82.67,83.02,2023-01-03 14:50:00,82.66,-41.5,closed
Scalper,197,SELL,2023-01-03 15:00:00,82.5,82.64,82.26,2023-01-03 15:15:00,82.65,-44.71,closed
Scalper,198,SELL,2023-01-03 15:20:00,82.38,82.51,82.14,2023-01-03 15:25:00,82.14,71.39,closed
Scalper,199,BUY,2023-01-03 15:30:00,82.3,82.15,82.56,2023-01-03 16:05:00,82.14,-46.88,closed
Scalper,200,SELL,2023-01-04 07:25:00,81.75,81.66,81.5,2023-01-04 07:35:00,81.5,30.43,closed
Scalper,201,BUY,2023-01-04 07:40:00,81.8,81.8,82.08,2023-01-04 08:00:00,81.79,-0.15,closed
Scalper,202,SELL,2023-01-04 08:25:00,81.89,81.83,81.62,2023-01-04 08:35:00,81.62,31.49,closed
Scalper,203,BUY,2023-01-04 08:50:00,81.78,81.61,82.08,2023-01-04 09:00:00,81.6,-53.27,closed
Scalper,204,BUY,2023-01-04 09:05:00,81.88,82.03,82.17,2023-01-04 09:25:00,82.17,35.47,closed
Scalper,205,SELL,2023-01-04 09:35:00,82.12,82.26,81.89,2023-01-04 09:40:00,82.27,-42.77,closed
Scalper,206,SELL,2023-01-04 09:55:00,82.25,82.37,82.02,2023-01-04 10:00:00,82.38,-41.28,closed
Scalper,207,SELL,2023-01-04 10:15:00,82.41,82.32,82.17,2023-01-04 10:40:00,82.33,8.98,closed
Scalper,208,BUY,2023-01-04 10:40:00,82.5,82.36,82.73,2023-01-04 10:50:00,82.73,70.06,closed
Scalper,209,SELL,2023-01-04 11:00:00,82.61,82.54,82.39,2023-01-04 11:20:00,82.39,27.16,closed
Scalper,210,BUY,2023-01-04 11:25:00,82.59,82.46,82.84,2023-01-04 11:55:00,82.45,-44.1,closed
Scalper,211,SELL,2023-01-04 11:50:00,82.48,82.37,82.29,2023-01-04 12:10:00,82.29,23.86,closed
Scalper,212,BUY,2023-01-04 12:45:00,82.06,82.14,82.26,2023-01-04 12:55:00,82.13,9.6,closed
Scalper,213,SELL,2023-01-04 13:25:00,82.72,82.62,82.48,2023-01-04 13:50:00,82.63,10.53,closed
Scalper,214,BUY,2023-01-04 13:55:00,82.72,82.72,82.9,2023-01-04 14:05:00,82.71,-0.45,closed
Scalper,215,BUY,2023-01-04 15:05:00,82.22,82.1,82.44,2023-01-04 15:10:00,82.09,-39.55,closed
Scalper,216,SELL,2023-01-04 15:25:00,82.16,82.09,81.96,2023-01-04 15:40:00,82.1,6.31,closed
Scalper,217,SELL,2023-01-04 15:35:00,82.0,82.11,81.82,2023-01-04 15:45:00,81.82,55.11,closed
Scalper,218,BUY,2023-01-04 15:50:00,81.83,81.7,82.07,2023-01-04 15:55:00,81.69,-43.36,closed
Scalper,219,BUY,2023-01-04 16:20:00,81.83,81.92,82.03,2023-01-04 16:35:00,82.03,24.91,closed
Scalper,220,SELL,2023-01-04 16:45:00,81.97,82.11,81.71,2023-01-05 07:15:00,82.12,-45.92,closed
Scalper,221,BUY,2023-01-05 07:15:00,82.16,82.02,82.4,2023-01-05 07:25:00,82.01,-44.44,closed
Scalper,222,SELL,2023-01-05 07:50:00,82.34,82.28,82.11,2023-01-05 08:05:00,82.11,28.55,closed
Scalper,223,SELL,2023-01-05 08:00:00,82.17,82.31,81.94,2023-01-05 08:15:00,82.32,-42.53,closed
Scalper,224,BUY,2023-01-05 08:10:00,82.28,82.14,82.51,2023-01-05 08:15:00,82.51,70.44,closed
Scalper,225,SELL,2023-01-05 08:20:00,82.47,82.62,82.18,2023-01-05 08:25:00,82.63,-50.29,closed
Scalper,226,SELL,2023-01-05 08:40:00,82.42,82.36,82.17,2023-01-05 09:15:00,82.37,6.15,closed
Scalper,227,BUY,2023-01-05 09:00:00,82.34,82.22,82.57,2023-01-05 09:20:00,82.21,-41.36,closed
Scalper,228,BUY,2023-01-05 09:25:00,82.5,82.37,82.71,2023-01-05 09:35:00,82.36,-39.51,closed
Scalper,229,SELL,2023-01-05 09:35:00,82.27,82.38,82.06,2023-01-05 09:40:00,82.39,-38.42,closed
Scalper,230,BUY,2023-01-05 10:05:00,82.62,82.51,82.82,2023-01-05 10:20:00,82.5,-36.06,closed
Scalper,231,BUY,2023-01-05 10:35:00,82.67,82.79,82.86,2023-01-05 11:00:00,82.78,12.75,closed
Scalper,232,BUY,2023-01-05 10:45:00,82.77,82.79,82.95,2023-01-05 11:00:00,82.78,1.95,closed
